Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Conor Casey,COL,F,24,24,2087,16,1,73,31,62,41,19,9,0
Atiba Harris,CHV,D,26,25,2139,4,7,38,19,55,27,12,8,1
Kei Kamara,VAN,F,28,24,2177,6,1,52,23,53,37,14,4,0
Rodney Wallace,NYC,F,28,25,2265,3,3,29,11,52,11,6,8,0
Fredy Montero,SEA,F,27,27,2217,12,7,86,32,47,62,33,5,1
Nate Jaqua,SEA,F,28,27,2278,9,7,47,16,47,35,21,6,1
Jeff Larentowicz,ATL,M,28,28,2438,1,2,34,17,45,30,2,4,0
Macoumba Kandji,NY,F,23,20,1752,4,5,47,24,43,47,10,2,0
Ryan Johnson,SJ,F,30,27,2241,11,2,59,35,43,28,28,3,0
Dane Richards,NY,M,27,20,1988,3,2,19,6,42,28,11,4,0
Santiago Hirsig,KC,M,26,24,2110,1,1,18,6,42,52,2,4,1
Kyle Beckerman,RSL,M,25,25,2218,3,2,39,17,42,22,3,10,0
Adrian Serioux,TOR,D,26,25,2235,2,1,8,5,42,23,0,6,1
Gregg Berhalter,LA,D,26,26,2298,0,0,6,0,41,29,1,4,2
Pablo Mastroeni,COL,M,25,25,2162,1,3,11,2,39,25,0,5,0
Ugo Ihemelu,COL,D,28,27,2443,1,2,13,5,39,27,1,9,1
Alan Gordon,LA,F,22,13,1175,3,3,41,15,38,28,12,5,1
Brian Mullan,HOU,D,25,23,1988,0,4,22,8,38,40,5,2,0
Eduardo Lillingston,CHV,F,25,15,1263,8,2,38,18,37,16,28,6,0
Fabian Espindola,RSL,F,22,17,1511,3,3,45,20,37,20,21,3,1
Davy Arnaud,KC,M,25,25,2214,5,2,57,17,37,34,4,7,0
Seth Stammler,NY,M-D,26,25,2238,0,0,20,6,37,13,1,4,0
Danny O'Rourke,CLB,D,26,26,2338,0,1,3,1,37,23,0,6,1
Edson Buddle,LA,F,19,13,1255,5,0,32,16,36,16,11,1,0
Ben Olsen,DC,M,20,18,1371,1,1,20,9,36,35,1,7,1
Kheli Dube,NE,F,26,20,1720,8,0,49,24,35,31,15,4,0
Osvaldo Alonso,SEA,M,27,26,2207,1,3,22,7,35,31,0,5,0
Amado Guevara,TOR,M,25,24,1999,5,6,49,20,34,22,3,3,0
Jámison Olave,RSL,D,25,24,2039,3,0,12,8,34,15,1,6,3
Dwayne De Rosario,TOR,M,28,27,2444,11,6,80,36,34,35,43,5,0
Jack Jewsbury,KC,M,28,28,2451,0,5,35,13,34,34,2,6,0
