day,date,home_team,result,away_team
Saturday,March 21,Sporting KC,2-3,TOR
Saturday,March 28,Columbus,1-1,TOR
Saturday,April 4,Seattle,0-2,TOR
Saturday,April 11,TOR,1-1,FC Dallas
Sunday,April 19,FC Dallas,3-2,TOR
Wednesday,April 22,TOR,1-0,Chivas USA
Sunday,April 26,TOR,1-0,Sporting KC
Saturday,May 2,TOR,1-1,Columbus
Saturday,May 9,D.C. United,3-3,TOR
Saturday,May 16,TOR,0-2,Chicago
Saturday,May 23,TOR,3-1,New England
Saturday,May 30,Houston,3-0,TOR
Saturday,June 6,TOR,1-2,LA Galaxy
Saturday,June 13,TOR,2-1,NY Red Bulls
Wednesday,June 24,TOR,2-0,NY Red Bulls
Saturday,June 27,Real Salt Lake,3-0,TOR
Saturday,July 11,San Jose,1-3,TOR
Saturday,July 18,TOR,1-1,Houston
Saturday,July 25,Columbus,3-2,TOR
Saturday,August 1,New England,1-1,TOR
Saturday,August 15,TOR,2-0,D.C. United
Saturday,August 22,Chivas USA,2-0,TOR
Saturday,August 29,Seattle,0-0,TOR
Saturday,September 5,Colorado,1-0,TOR
Saturday,September 12,TOR,3-2,Colorado
Saturday,September 19,LA Galaxy,2-0,TOR
Saturday,September 26,Chicago,2-2,TOR
Saturday,October 10,TOR,1-1,San Jose
Saturday,October 17,TOR,1-0,Real Salt Lake
Saturday,October 24,NY Red Bulls,5-0,TOR
