day,date,home_team,result,away_team
Saturday,March 21,Chivas USA,2-1,COL
Saturday,March 28,COL,2-1,Sporting KC
Saturday,April 4,LA Galaxy,2-3,COL
Saturday,April 11,Columbus,1-1,COL
Sunday,April 19,Houston,1-0,COL
Saturday,April 25,COL,1-1,LA Galaxy
Saturday,May 2,COL,2-0,Real Salt Lake
Saturday,May 16,New England,1-1,COL
Saturday,May 23,Seattle,2-2,COL
Saturday,May 30,NY Red Bulls,2-3,COL
Saturday,June 6,Real Salt Lake,1-1,COL
Saturday,June 20,COL,3-0,D.C. United
Wednesday,June 24,COL,1-1,FC Dallas
Sunday,June 28,Seattle,3-0,COL
Saturday,July 4,COL,1-2,Chicago
Saturday,July 11,COL,1-0,FC Dallas
Saturday,July 18,D.C. United,3-1,COL
Saturday,July 25,COL,4-0,NY Red Bulls
Saturday,August 1,COL,0-1,Columbus
Saturday,August 8,COL,4-0,Chivas USA
Sunday,August 23,Chicago,3-2,COL
Sunday,August 30,COL,1-0,Houston
Saturday,September 5,COL,1-0,Toronto FC
Saturday,September 12,Toronto FC,3-2,COL
Friday,September 18,San Jose,1-1,COL
Wednesday,September 23,COL,1-1,San Jose
Saturday,September 26,Sporting KC,0-0,COL
Saturday,October 3,COL,1-1,New England
Saturday,October 17,FC Dallas,2-1,COL
Saturday,October 24,Real Salt Lake,3-0,COL
