Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Fredy Montero,SEA,F,27,27,2217,12,7,86,32,0/1,14.0,37.2
Omar Cummings,COL,F,28,28,2474,8,12,82,34,0/1,9.8,41.5
Juan Pablo Angel,NY,F,25,25,2133,12,2,81,37,2/3,14.8,45.7
Dwayne De Rosario,TOR,M,28,27,2444,11,6,80,36,0/1,13.8,45.0
Conor Casey,COL,F,24,24,2087,16,1,73,31,4/6,21.9,42.5
Claudio Lopez,KC,F,29,28,2501,7,8,72,35,2/2,9.7,48.6
Jeff Cunningham,DAL,F,28,23,1918,17,8,71,38,1/3,23.9,53.5
Yura Movsisyan,RSL,F,26,19,1731,8,2,64,29,0/0,12.5,45.3
Chris Rolfe,CHI,F,28,20,1854,6,1,62,26,0/0,9.7,41.9
Josh Wolff,KC,F,27,27,2348,11,0,62,30,0/0,17.7,48.4
Robbie Findley,RSL,F,27,18,1751,12,4,60,26,1/1,20.0,43.3
Marco Pappa,CHI,M,30,28,2314,5,4,60,29,0/0,8.3,48.3
Luciano Emilio,DC,F,27,23,2070,10,2,59,29,0/0,16.9,49.2
Ryan Johnson,SJ,F,30,27,2241,11,2,59,35,1/1,18.6,59.3
Davy Arnaud,KC,M,25,25,2214,5,2,57,17,0/0,8.8,29.8
Chris Pontius,LA,F,28,23,2113,4,3,56,23,0/0,7.1,41.1
Landon Donovan,LA,M-F,25,23,2152,12,6,56,29,3/3,21.4,51.8
Chad Barrett,TOR,F,29,27,2069,5,3,55,25,0/0,9.1,45.5
Guillermo Barros Schelotto,CLB,F,24,21,1816,12,3,53,25,3/4,22.6,47.2
Arturo Alvarez,HOU,M,23,20,1848,5,2,53,22,1/1,9.4,41.5
Kenny Cooper,DAL,F,15,15,1331,7,1,52,29,2/2,13.5,55.8
Kei Kamara,VAN,F,28,24,2177,6,1,52,23,0/0,11.5,44.2
David Ferreira,DAL,M,30,30,2692,8,7,51,22,0/0,15.7,43.1
Kheli Dube,NE,F,26,20,1720,8,0,49,24,0/0,16.3,49.0
Amado Guevara,TOR,M,25,24,1999,5,6,49,20,0/1,10.2,40.8
Sacha Kljestan,ORL,M,25,24,2041,5,3,48,23,1/2,10.4,47.9
Will Johnson,ORL,M,26,26,2305,1,3,48,22,1/1,2.1,45.8
Macoumba Kandji,NY,F,23,20,1752,4,5,47,24,0/0,8.5,51.1
Brian McBride,CHI,F,22,22,1963,7,2,47,22,1/2,14.9,46.8
Nate Jaqua,SEA,F,28,27,2278,9,7,47,16,0/0,19.1,34.0
Steve Zakuani,SEA,M,29,24,1993,4,4,46,21,0/0,8.7,45.7
Brad Davis,HOU,M,27,26,2207,5,12,46,21,0/1,10.9,45.7
Fabian Espindola,RSL,F,22,17,1511,3,3,45,20,0/0,6.7,44.4
Alan Gordon,LA,F,22,13,1175,3,3,41,15,0/0,7.3,36.6
Eddie Gaven,CLB,M,30,27,2420,6,0,41,21,1/1,14.6,51.2
Hérculez Gómez,KC,F,26,20,1569,0,3,40,15,0/0,0.0,37.5
Cuauhtemoc Blanco,CHI,M,21,15,1452,5,8,39,17,3/3,12.8,43.6
Kyle Beckerman,RSL,M,25,25,2218,3,2,39,17,0/0,7.7,43.6
Justin Braun,CHV,F,15,14,1211,3,2,38,16,0/0,7.9,42.1
Eduardo Lillingston,CHV,F,25,15,1263,8,2,38,18,1/1,21.1,47.4
Emmanuel Ekpo,CLB,M,28,22,1936,2,6,38,8,0/0,5.3,21.1
Atiba Harris,CHV,D,26,25,2139,4,7,38,19,0/0,10.5,50.0
Robbie Rogers,CLB,D,22,20,1709,1,5,37,13,0/0,2.7,35.1
Jorge Rojas,NY,M,21,19,1515,2,2,36,14,0/0,5.6,38.9
