day,date,home_team,result,away_team
Saturday,March 28,Seattle,2-0,RSL
Thursday,April 2,RSL,4-1,Columbus
Saturday,April 11,RSL,2-1,D.C. United
Saturday,April 18,NY Red Bulls,2-0,RSL
Saturday,April 25,RSL,6-0,New England
Saturday,May 2,Colorado,2-0,RSL
Wednesday,May 6,RSL,2-2,LA Galaxy
Saturday,May 9,Chivas USA,1-0,RSL
Saturday,May 16,RSL,0-2,Sporting KC
Saturday,May 23,D.C. United,0-0,RSL
Saturday,May 30,San Jose,2-1,RSL
Saturday,June 6,RSL,1-1,Colorado
Saturday,June 13,LA Galaxy,0-2,RSL
Saturday,June 20,Houston,1-1,RSL
Saturday,June 27,RSL,3-0,Toronto FC
Friday,July 3,RSL,1-1,San Jose
Saturday,July 18,Columbus,3-1,RSL
Friday,July 24,RSL,4-2,FC Dallas
Saturday,August 1,Chicago,1-0,RSL
Saturday,August 8,Seattle,1-0,RSL
Saturday,August 15,RSL,0-0,Houston
Sunday,August 23,New England,3-1,RSL
Wednesday,August 26,RSL,4-0,Chivas USA
Saturday,August 29,Sporting KC,0-1,RSL
Saturday,September 12,RSL,1-1,Chicago
Saturday,September 19,Houston,3-2,RSL
Saturday,September 26,FC Dallas,3-0,RSL
Wednesday,October 14,RSL,2-0,NY Red Bulls
Saturday,October 17,Toronto FC,1-0,RSL
Saturday,October 24,RSL,3-0,Colorado
